locale,key,lineno,text
ja,PROJECT_MOVED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#2s (%#1s) \u304c %#4s (%#3s) \u306b\u79fb\u52d5\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_OWNER_CHANGED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u306e\u73fe\u5728\u306e\u6240\u6709\u8005\u306f %#2s \u3067\u3059\u3002
ja,PROJECT_REGISTERED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304c\u767b\u9332\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_RENAMED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u306f %#2s \u306b\u540d\u524d\u304c\u5909\u66f4\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_RUN_NOTE,1.0,"%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304c\u5b9f\u884c\u3055\u308c\u307e\u3057\u305f (method=%#2s, importdata=%#3s)\u3002"
ja,PROJECT_SETTINGS_EXPORTED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304b\u3089\u306e\u8a2d\u5b9a\u304c\u30d5\u30a1\u30a4\u30eb %#2s \u306b\u30a8\u30af\u30b9\u30dd\u30fc\u30c8\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_SHARING_CHANGED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u306e\u73fe\u5728\u306e\u5171\u6709\u8a2d\u5b9a\u306f %#2s \u3067\u3059\u3002
ja,PROJECT_UNREGISTERED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304c\u767b\u9332\u89e3\u9664\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_UPDATED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u304c\u66f4\u65b0\u3055\u308c\u307e\u3057\u305f\u3002
ja,PROJECT_VARS_CLEARED_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8\u5909\u6570\u306f\u30af\u30ea\u30a2\u3055\u308c\u307e\u3057\u305f\u3002
ja,REMOTE_ONLY_PATH_ERROR,1.0,%1z\u30ea\u30e2\u30fc\u30c8\u30d1\u30b9\u306e\u6307\u5b9a\u6642\u3001\u5bfe\u5fdc\u3059\u308b\u30ed\u30fc\u30ab\u30eb\u30d1\u30b9\u3092\u6307\u5b9a\u3057\u3066\u304f\u3060\u3055\u3044\u3002
