libname,memname,path,objname,fmtname,fmttype,source,minw,mind,maxw,maxd,defw,defd
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFBESTD,BESTDOTX,F,U,1.0,0.0,32.0,31.0,12.0,0.0
,,,,BESTX,F,B,1.0,0.0,64.0,31.0,12.0,0.0
,,,,BESTX,I,B,1.0,0.0,32767.0,31.0,12.0,0.0
,,,,BINARY,F,B,1.0,0.0,64.0,31.0,8.0,0.0
,,,,BINARY,I,B,1.0,0.0,64.0,31.0,8.0,0.0
,,,,BITS,I,B,1.0,0.0,64.0,63.0,1.0,0.0
,,,,BZ,I,B,1.0,0.0,32.0,31.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCATDF,CATDFDD,F,U,2.0,0.0,10.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCATDF,CATDFDE,F,U,5.0,0.0,18.0,0.0,14.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICATDF,CATDFDE,I,U,7.0,0.0,32.0,0.0,7.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCATDF,CATDFDN,F,U,1.0,0.0,64.0,0.0,2.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCATDF,CATDFDT,F,U,7.0,0.0,80.0,39.0,32.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICATDF,CATDFDT,I,U,13.0,0.0,40.0,39.0,18.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCATDF,CATDFDWN,F,U,1.0,0.0,64.0,0.0,18.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCATDF,CATDFMN,F,U,1.0,0.0,64.0,0.0,16.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCATDF,CATDFMY,F,U,5.0,0.0,64.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICATDF,CATDFMY,I,U,5.0,0.0,32.0,0.0,5.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCATDF,CATDFWDX,F,U,3.0,0.0,80.0,0.0,32.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCATDF,CATDFWKX,F,U,2.0,0.0,80.0,0.0,54.0,0.0
,,,,CB,I,B,1.0,0.0,32.0,31.0,1.0,0.0
,,,,COMMA,F,B,1.0,0.0,32.0,31.0,6.0,0.0
,,,,COMMA,I,B,1.0,0.0,32.0,31.0,1.0,0.0
,,,,COMMAX,F,B,1.0,0.0,32.0,31.0,6.0,0.0
,,,,COMMAX,I,B,1.0,0.0,32.0,31.0,1.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCRODF,CRODFDD,F,U,2.0,0.0,10.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCRODF,CRODFDE,F,U,5.0,0.0,18.0,0.0,14.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICRODF,CRODFDE,I,U,7.0,0.0,32.0,0.0,7.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCRODF,CRODFDN,F,U,1.0,0.0,64.0,0.0,2.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCRODF,CRODFDT,F,U,7.0,0.0,80.0,39.0,32.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICRODF,CRODFDT,I,U,13.0,0.0,40.0,39.0,18.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCRODF,CRODFDWN,F,U,1.0,0.0,64.0,0.0,20.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCRODF,CRODFMN,F,U,1.0,0.0,64.0,0.0,16.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCRODF,CRODFMY,F,U,5.0,0.0,64.0,0.0,10.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICRODF,CRODFMY,I,U,5.0,0.0,32.0,0.0,5.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCRODF,CRODFWDX,F,U,3.0,0.0,80.0,0.0,32.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCRODF,CRODFWKX,F,U,3.0,0.0,80.0,0.0,54.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCSYDF,CSYDFDD,F,U,2.0,0.0,10.0,0.0,8.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWFCSYDF,CSYDFDE,F,U,10.0,0.0,28.0,0.0,24.0,0.0
,,/pbr/sfw/sas/940/SASFoundation/9.4/sasexe,UWICSYDF,CSYDFDE,I,U,7.0,0.0,32.0,0.0,7.0,0.0
